country,target_domain,as_number,#fqdn_in_response,is_error,is_empty
bg,tiktok.com,202463,17,False,False
bg,booking.com,198259,5,False,False
bg,winbet.bg,6802,6,False,False
bg,framar.bg,44901,16,False,False
bg,dnevnik.bg,48155,33,False,False
bg,zamunda.net,49188,18,False,False
bg,booking.com,212023,5,False,False
bg,offnews.bg,12796,54,False,False
bg,dnes.bg,48452,40,False,False
bg,filmisub.com,60447,9,False,False
bg,kaufland.com,35141,4,False,False
bg,vbox7.com,48452,38,False,False
bg,shkolo.bg,58079,1,False,False
bg,bazar.bg,16154,35,False,False
bg,instagram.com,58079,2,False,False
bg,marica.bg,57344,4,False,False
bg,palmsbet.com,8717,16,False,False
bg,marica.bg,8262,7,False,False
bg,dir.bg,8262,25,False,False
bg,dir.bg,8717,25,False,False
bg,facebook.com,42431,3,False,False
bg,zamunda.net,12591,18,False,False
bg,palmsbet.com,44814,18,False,False
bg,vesti.bg,9070,24,False,False
bg,btvnovinite.bg,44901,84,False,False
bg,novini.bg,44901,27,False,False
bg,instagram.com,49188,2,False,False
bg,dariknews.bg,58079,35,False,False
bg,palmsbet.com,21230,2,False,False
bg,facebook.com,47624,3,False,False
bg,facebook.com,3245,3,False,False
bg,booking.com,31029,4,False,False
bg,shkolo.bg,48155,1,False,False
bg,dnes.bg,5421,40,False,False
bg,btvnovinite.bg,204281,76,False,False
bg,fakti.bg,57344,27,False,False
bg,gong.bg,41313,29,False,False
bg,dariknews.bg,31250,29,False,False
bg,palmsbet.com,16154,17,False,False
bg,gong.bg,16154,30,False,False
bg,yettel.bg,13306,18,False,False
bg,olx.bg,29244,15,False,False
bg,bazar.bg,50020,36,False,False
bg,offnews.bg,9127,50,False,False
bg,abv.bg,198259,10,False,False
bg,offnews.bg,43561,50,False,False
bg,frognews.bg,38932,13,False,False
bg,booking.com,28909,5,False,False
bg,sinoptik.bg,29244,29,False,False
bg,dnevnik.bg,29084,0,True,False
bg,plovdiv24.bg,9127,28,False,False
bg,tiktok.com,48917,19,False,False
bg,vesti.bg,42431,24,False,False
bg,dnes.bg,20750,38,False,False
bg,filmisub.com,202463,15,False,False
bg,dariknews.bg,39396,35,False,False
bg,jobs.bg,48917,6,False,False
bg,sportal.bg,20956,20,False,False
bg,framar.bg,41313,16,False,False
bg,sportal.bg,29244,20,False,False
bg,twitter.com,204281,6,False,False
bg,24chasa.bg,57344,57,False,False
bg,twitter.com,48747,6,False,False
bg,alo.bg,29580,13,False,False
bg,shkolo.bg,12796,1,False,False
bg,shkolo.bg,60447,1,False,False
bg,frognews.bg,20657,13,False,False
bg,dnes.bg,60447,40,False,False
bg,marica.bg,59729,6,False,False
bg,dnes.bg,35141,40,False,False
bg,plovdiv24.bg,13124,28,False,False
bg,filmisub.com,48155,16,False,False
bg,emag.bg,39184,0,False,True
bg,btvnovinite.bg,44814,83,False,False
bg,zamunda.net,12615,19,False,False
bg,tiktok.com,13306,15,False,False
bg,marica.bg,61996,6,False,False
bg,novini.bg,41313,19,False,False
bg,twitter.com,13124,6,False,False
bg,zamunda.net,25374,18,False,False
bg,yettel.bg,198259,19,False,False
bg,dariknews.bg,20750,43,False,False
bg,nova.bg,202463,33,False,False
bg,sportal.bg,34569,20,False,False
bg,nova.bg,42431,34,False,False
bg,bazar.bg,38932,35,False,False
bg,winbet.bg,202463,21,False,False
bg,dariknews.bg,48452,35,False,False
bg,framar.bg,39505,22,False,False
bg,pik.bg,29244,3,False,False
bg,dariknews.bg,8262,31,False,False
bg,dnevnik.bg,204281,33,False,False
bg,gong.bg,29244,28,False,False
bg,blitz.bg,44814,38,False,False
bg,shkolo.bg,202463,1,False,False
bg,gong.bg,29580,29,False,False
bg,mobile.bg,39396,1,False,False
