country,target_domain,as_number,#fqdn_in_response,is_error,is_empty
es,okdiario.com,202766,5,False,False
es,elpais.com,61408,43,False,False
es,as.com,206488,38,False,False
es,abc.es,57269,41,False,False
es,booking.com,197991,5,False,False
es,agenciatributaria.gob.es,200434,3,False,False
es,sport.es,29119,23,False,False
es,office.com,16030,11,False,False
es,eltiempo.es,61408,33,False,False
es,linkedin.com,57269,2,False,False
es,lavanguardia.com,205645,42,False,False
es,marca.com,198454,34,False,False
es,primevideo.com,39551,4,False,False
es,elconfidencial.com,57910,34,False,False
es,elcorteingles.es,34285,1,False,False
es,agenciatributaria.gob.es,199312,3,False,False
es,aemet.es,12334,7,False,False
es,elmundo.es,199853,41,False,False
es,elpais.com,206488,43,False,False
es,instagram.com,16030,2,False,False
es,pasion.com,199312,0,True,False
es,primevideo.com,12479,4,False,False
es,twitter.com,39020,3,False,False
es,yahoo.com,34285,4,False,False
es,elespanol.com,201453,23,False,False
es,yahoo.com,8220,4,False,False
es,agenciatributaria.gob.es,200030,2,False,False
es,juntadeandalucia.es,8903,6,False,False
es,pasion.com,206404,0,True,False
es,pasion.com,34977,0,True,False
es,yahoo.com,13287,4,False,False
es,eltiempo.es,206404,31,False,False
es,tiktok.com,12338,19,False,False
es,pasion.com,12479,0,True,False
es,orange.es,200738,4,False,False
es,twitter.com,198760,3,False,False
es,elconfidencial.com,201843,34,False,False
es,rtve.es,9009,29,False,False
es,facebook.com,48146,3,False,False
es,milanuncios.com,12334,1,False,False
es,telecinco.es,208909,106,False,False
es,idealista.com,39155,5,False,False
es,pinterest.es,57269,0,True,False
es,marca.com,199312,38,False,False
es,marca.com,766,36,False,False
es,milanuncios.com,57269,1,False,False
es,elmundo.es,12946,41,False,False
es,tiktok.com,49835,17,False,False
es,abc.es,12334,44,False,False
es,live.com,205645,0,True,False
es,elpais.com,204234,43,False,False
es,juntadeandalucia.es,198096,6,False,False
es,abc.es,205645,42,False,False
es,office.com,201843,11,False,False
es,twitter.com,44278,3,False,False
es,okdiario.com,34977,5,False,False
es,elpais.com,29119,27,False,False
es,lavanguardia.com,15630,42,False,False
es,20minutos.es,57269,56,False,False
es,tiktok.com,198454,17,False,False
es,sport.es,34977,25,False,False
es,facebook.com,61408,3,False,False
es,wikipedia.org,208909,1,False,False
es,aemet.es,206886,7,False,False
es,abc.es,198731,33,False,False
es,aliexpress.com,198454,31,False,False
es,instagram.com,29119,2,False,False
es,sport.es,5505,23,False,False
es,rtve.es,34285,0,False,True
es,instagram.com,12946,2,False,False
es,aemet.es,201105,7,False,False
es,agenciatributaria.gob.es,12334,3,False,False
es,wikipedia.org,50926,1,False,False
es,okdiario.com,199853,5,False,False
es,elmundo.es,12540,40,False,False
es,elcorteingles.es,200738,1,False,False
es,idealista.com,44431,5,False,False
es,marca.com,57269,41,False,False
es,amazon.es,198731,7,False,False
es,aemet.es,15699,7,False,False
es,elcorteingles.es,39551,1,False,False
es,elespanol.com,205645,22,False,False
es,instagram.com,5505,3,False,False
es,as.com,198731,47,False,False
es,aemet.es,198454,7,False,False
es,primevideo.com,208909,4,False,False
es,juntadeandalucia.es,199853,5,False,False
es,primevideo.com,29680,4,False,False
es,elcorteingles.es,202583,1,False,False
es,marca.com,199853,35,False,False
es,elcorteingles.es,12430,1,False,False
es,wikipedia.org,48146,1,False,False
es,aliexpress.com,205645,30,False,False
es,aliexpress.com,39020,31,False,False
es,elmundo.es,60609,39,False,False
es,primevideo.com,200738,4,False,False
es,marca.com,206488,42,False,False
es,telecinco.es,62412,112,False,False
es,aemet.es,12540,7,False,False
es,elpais.com,201105,51,False,False
es,idealista.com,57269,5,False,False
es,as.com,205645,27,False,False
es,primevideo.com,15704,4,False,False
es,juntadeandalucia.es,12946,5,False,False
es,elpais.com,35699,43,False,False
es,elmundo.es,198731,40,False,False
es,20minutos.es,202583,55,False,False
es,wikipedia.org,49940,1,False,False
es,primevideo.com,61408,4,False,False
es,lavanguardia.com,206886,40,False,False
es,lavanguardia.com,47683,42,False,False
es,amazon.es,39155,7,False,False
es,primevideo.com,198760,4,False,False
es,as.com,12334,12,False,False
es,sport.es,15488,23,False,False
es,linkedin.com,197991,2,False,False
es,aemet.es,12357,7,False,False
