country,target_domain,as_number,#fqdn_in_response,is_error,is_empty
gr,sport-fm.gr,8581,60,False,False
gr,gossip-tv.gr,29247,27,False,False
gr,eurobank.gr,12361,6,False,False
gr,car.gr,5470,17,False,False
gr,newsbomb.gr,5470,21,False,False
gr,athensmagazine.gr,8522,36,False,False
gr,tiktok.com,8253,7,False,False
gr,eurobank.gr,8253,6,False,False
gr,car.gr,8248,17,False,False
gr,newsbeast.gr,200736,3,False,False
gr,gsis.gr,3329,4,False,False
gr,gazzetta.gr,3329,54,False,False
gr,athensmagazine.gr,8991,35,False,False
gr,facebook.com,6799,3,False,False
gr,wikipedia.org,8522,1,False,False
gr,newsbomb.gr,8581,21,False,False
gr,sport-fm.gr,5470,59,False,False
gr,protothema.gr,200736,10,False,False
gr,live.com,1241,0,True,False
gr,skroutz.gr,8248,2,False,False
gr,facebook.com,3323,3,False,False
gr,nbg.gr,3329,14,False,False
gr,facebook.com,8581,3,False,False
gr,in.gr,56910,24,False,False
gr,nbg.gr,5408,14,False,False
gr,lifo.gr,3329,7,False,False
gr,gossip-tv.gr,12361,29,False,False
gr,sport-fm.gr,12361,57,True,False
gr,sport24.gr,9069,37,False,False
gr,eurobank.gr,8581,6,False,False
gr,aade.gr,56910,22,False,False
gr,tiktok.com,50520,19,False,False
gr,sport24.gr,8991,39,False,False
gr,sport-fm.gr,8253,58,False,False
gr,gazzetta.gr,1241,54,False,False
gr,in.gr,6799,24,False,False
gr,sdna.gr,200736,1,False,False
gr,facebook.com,8522,3,False,False
gr,eurobank.gr,5470,6,False,False
gr,ethnos.gr,8581,22,False,False
gr,iefimerida.gr,9069,3,False,False
gr,ethnos.gr,25472,23,False,False
gr,newsbomb.gr,12361,21,False,False
gr,wikipedia.org,3329,1,False,False
gr,athensmagazine.gr,12361,36,False,False
gr,sport24.gr,25472,36,False,False
gr,newsit.gr,29247,11,False,False
gr,live.com,8581,0,True,False
gr,newsbeast.gr,5470,3,False,False
gr,iefimerida.gr,29247,4,False,False
gr,sportdog.gr,3323,44,False,False
gr,makeleio.gr,50520,0,True,False
gr,newsbomb.gr,8253,21,False,False
gr,wikipedia.org,199081,1,False,False
gr,tiktok.com,6799,19,False,False
gr,skroutz.gr,12361,2,False,False
gr,car.gr,6799,16,False,False
gr,news247.gr,56910,44,False,False
gr,alfavita.gr,8581,1,False,False
gr,pronews.gr,5470,18,False,False
gr,instagram.com,8253,3,False,False
gr,stoiximan.gr,5408,12,False,False
gr,stoiximan.gr,199081,12,False,False
gr,alfavita.gr,5470,1,False,False
gr,wikipedia.org,6799,1,False,False
gr,booking.com,8253,5,False,False
gr,facebook.com,8991,3,False,False
gr,yahoo.com,8991,4,False,False
gr,yahoo.com,5408,4,False,False
gr,booking.com,12361,6,False,False
gr,dikaiologitika.gr,8522,21,False,False
gr,gsis.gr,200736,4,False,False
gr,dikaiologitika.gr,8991,22,False,False
gr,alfavita.gr,12361,1,False,False
gr,newsit.gr,8581,19,False,False
gr,yahoo.com,8253,4,False,False
gr,alphatv.gr,200736,44,False,False
gr,sportdog.gr,200736,43,False,False
gr,dikaiologitika.gr,12361,22,False,False
gr,in.gr,25472,24,False,False
gr,newsit.gr,25472,20,False,False
gr,protothema.gr,8991,10,False,False
gr,alfavita.gr,8253,1,False,False
gr,wikipedia.org,3323,1,False,False
gr,winbank.gr,8581,1,False,False
gr,nbg.gr,8991,14,False,False
gr,booking.com,5470,6,False,False
gr,ethnos.gr,29247,23,False,False
gr,skroutz.gr,3329,2,False,False
