country,target_domain,as_number,#fqdn_in_response,is_error,is_empty
hu,twitter.com,2547,3,False,False
hu,femina.hu,197886,30,False,False
hu,twitter.com,20510,3,False,False
hu,borsonline.hu,29278,28,False,False
hu,facebook.com,41303,3,False,False
hu,life.hu,200964,31,False,False
hu,filmvilag.me,41303,41,False,False
hu,videa.hu,47169,28,False,False
hu,napi.hu,8462,25,False,False
hu,hvg.hu,21334,18,False,False
hu,napi.hu,21334,23,False,False
hu,filmvilag.me,197886,37,False,False
hu,mozinet.me,200964,22,False,False
hu,freemail.hu,21334,12,False,False
hu,facebook.com,197886,3,False,False
hu,index.hu,5483,41,False,False
hu,gov.hu,5588,0,True,False
hu,hirstart.hu,24822,36,False,False
hu,twitter.com,44651,3,False,False
hu,promotions.hu,41303,38,False,False
hu,nlc.hu,47116,42,False,False
hu,portfolio.hu,47116,32,False,False
hu,index.hu,8462,41,False,False
hu,borsonline.hu,197889,27,False,False
hu,napi.hu,47169,24,False,False
hu,filmorias.com,5588,1,False,False
hu,filmorias.com,2547,1,False,False
hu,hvg.hu,41303,7,False,False
hu,nlc.hu,3244,41,False,False
hu,hbomax.com,29278,8,False,False
hu,origo.hu,2547,50,False,False
hu,hasznaltauto.hu,21334,25,False,False
hu,24.hu,8462,35,False,False
hu,hasznaltauto.hu,24822,26,False,False
hu,hirkereso.hu,20523,4,False,False
hu,nemzetisport.hu,12301,10,False,False
hu,jofogas.hu,3244,18,False,False
hu,24.hu,197886,0,True,False
hu,femina.hu,21334,32,False,False
hu,femina.hu,2012,32,False,False
hu,hirstart.hu,20523,37,False,False
hu,online-filmek.me,20845,18,False,False
hu,twitter.com,3244,0,True,False
hu,nemzetisport.hu,41303,15,False,False
hu,nosalty.hu,44651,39,False,False
hu,444.hu,47116,8,False,False
hu,24.hu,29278,0,True,False
hu,nemzetisport.hu,197889,13,False,False
hu,portfolio.hu,3244,43,False,False
hu,startlap.hu,1955,41,False,False
hu,freemail.hu,20845,12,False,False
hu,life.hu,2547,32,False,False
hu,femina.hu,20510,31,False,False
hu,444.hu,3244,5,False,False
hu,jofogas.hu,2547,18,False,False
hu,jofogas.hu,20845,17,False,False
hu,instagram.com,47116,2,False,False
hu,twitter.com,12301,4,False,False
hu,hirkereso.hu,20845,4,False,False
hu,videa.hu,2012,28,False,False
hu,index.hu,20523,40,False,False
hu,telex.hu,42205,27,False,False
hu,origo.hu,3244,40,False,False
hu,hasznaltauto.hu,59869,25,False,False
hu,telex.hu,20510,26,False,False
hu,napi.hu,20510,23,False,False
hu,instagram.com,20523,1,False,False
hu,instagram.com,59869,2,False,False
hu,hvg.hu,24822,18,False,False
hu,nemzetisport.hu,29278,13,False,False
hu,index.hu,24822,39,False,False
hu,24.hu,20510,39,False,False
hu,hvg.hu,20523,17,False,False
hu,24.hu,8990,0,True,False
hu,blikk.hu,30836,31,False,False
hu,borsonline.hu,24822,27,False,False
hu,hirkereso.hu,30836,4,False,False
hu,hirstart.hu,8990,36,False,False
hu,instagram.com,8462,2,False,False
hu,hirstart.hu,41303,34,False,False
hu,online-filmek.me,24822,18,False,False
hu,filmorias.com,42205,1,False,False
hu,emag.hu,30836,11,False,False
hu,hirkereso.hu,42864,4,False,False
hu,telex.hu,30836,27,False,False
hu,borsonline.hu,197886,28,False,False
hu,arukereso.hu,41303,6,False,False
hu,hvg.hu,12301,7,False,False
hu,gyakorikerdesek.hu,41303,20,False,False
hu,hbomax.com,200964,9,False,False
hu,index.hu,29278,42,False,False
hu,twitter.com,197886,3,False,False
hu,origo.hu,44651,41,False,False
hu,arukereso.hu,197886,8,False,False
