country,target_domain,as_number,#fqdn_in_response,is_error,is_empty
it,aruba.it,8816,9,False,False
it,live.com,198471,0,True,False
it,poste.it,203489,5,False,False
it,immobiliare.it,49605,12,False,False
it,my-personaltrainer.it,42669,24,False,False
it,sky.it,203089,11,False,False
it,lastampa.it,44512,23,False,False
it,3bmeteo.com,34695,15,False,False
it,sky.it,57300,12,False,False
it,wikipedia.org,197650,1,False,False
it,ilfattoquotidiano.it,60501,19,False,False
it,immobiliare.it,44513,12,False,False
it,staseraintv.com,198090,15,False,False
it,sky.it,48544,10,False,False
it,instagram.com,203089,2,False,False
it,ilmeteo.it,50316,35,False,False
it,libero.it,51300,14,False,False
it,bakecaincontrii.com,60798,7,False,False
it,futbol24.com,43942,4,False,False
it,lastampa.it,13113,23,False,False
it,poste.it,49360,5,False,False
it,fanpage.it,15663,18,False,False
it,wikipedia.org,3242,1,False,False
it,tim.it,209137,6,False,False
it,futbol24.com,201877,5,False,False
it,ilsole24ore.com,43942,42,False,False
it,instagram.com,57469,3,False,False
it,poste.it,199181,5,False,False
it,ilsole24ore.com,49360,23,False,False
it,live.com,31319,0,True,False
it,wikipedia.org,207013,1,False,False
it,virgilio.it,199348,9,False,False
it,repubblica.it,13097,22,False,False
it,ilfattoquotidiano.it,51300,18,False,False
it,subito.it,49367,30,False,False
it,3bmeteo.com,208808,14,False,False
it,inps.it,202422,5,False,False
it,bakecaincontrii.com,57300,4,False,False
it,ilmeteo.it,43989,41,False,False
it,poste.it,60501,5,False,False
it,agenziaentrate.gov.it,44831,0,True,False
it,3bmeteo.com,43989,11,False,False
it,aruba.it,21034,11,False,False
it,tim.it,3257,16,False,False
it,corriere.it,207013,33,False,False
it,futbol24.com,31638,5,False,False
it,staseraintv.com,16232,15,False,False
it,gazzetta.it,201877,36,False,False
it,ansa.it,199837,17,False,False
it,fanpage.it,3242,13,False,False
it,corriere.it,137,0,False,True
it,aruba.it,31263,8,False,False
it,staseraintv.com,60798,19,False,False
it,ebay.it,198721,9,False,False
it,sky.it,199324,9,False,False
it,amazon.it,206701,5,False,False
it,aruba.it,207013,7,False,False
it,samsung.com,206701,1,False,False
it,my-personaltrainer.it,203489,10,False,False
it,linkedin.com,28716,2,False,False
it,staseraintv.com,44219,19,False,False
it,yahoo.com,44513,4,False,False
it,twitter.com,42669,3,False,False
it,tiktok.com,34695,7,False,False
it,ebay.it,41364,8,False,False
it,ilfattoquotidiano.it,3242,20,False,False
it,3bmeteo.com,43942,15,False,False
it,my-personaltrainer.it,205005,24,False,False
it,amazon.it,203591,7,False,False
it,giallozafferano.it,41644,20,False,False
it,ebay.it,205005,8,False,False
it,sky.it,28716,12,False,False
it,agenziaentrate.gov.it,21309,0,True,False
it,mediaset.it,208877,23,False,False
it,poste.it,20836,5,False,False
it,futbol24.com,48544,4,False,False
it,facebook.com,62007,3,False,False
it,twitter.com,203591,3,False,False
it,fanpage.it,16509,10,False,False
it,ebay.it,203089,7,False,False
it,subito.it,31034,30,False,False
it,giallozafferano.it,8612,23,False,False
it,ansa.it,21309,16,False,False
it,immobiliare.it,30848,12,False,False
it,sky.it,205005,12,False,False
it,twitter.com,12779,3,False,False
it,virgilio.it,207029,12,False,False
it,ilfattoquotidiano.it,29447,19,False,False
it,inps.it,1267,7,False,False
it,aruba.it,3242,8,False,False
it,virgilio.it,51300,13,False,False
it,agenziaentrate.gov.it,42669,0,True,False
it,sky.it,50316,12,False,False
it,aruba.it,34758,9,False,False
it,booking.com,30722,3,False,False
it,ilfattoquotidiano.it,197293,20,False,False
it,live.com,6882,0,True,False
it,immobiliare.it,21309,12,False,False
it,immobiliare.it,29447,12,False,False
it,wikipedia.org,50316,1,False,False
it,mediaset.it,198090,22,False,False
it,libero.it,208877,8,False,False
it,staseraintv.com,20912,18,False,False
it,giallozafferano.it,30722,7,False,False
it,bakecaincontrii.com,210278,3,False,False
it,libero.it,137,14,False,False
it,futbol24.com,8612,4,False,False
it,ilfattoquotidiano.it,12874,21,False,False
it,twitter.com,21034,3,False,False
it,twitter.com,198721,6,False,False
it,staseraintv.com,28929,15,False,False
it,immobiliare.it,197075,11,False,False
it,subito.it,16509,30,False,False
it,gazzetta.it,30848,40,False,False
it,ilmeteo.it,42669,40,False,False
it,facebook.com,199837,3,False,False
it,ebay.it,31115,8,False,False
it,agenziaentrate.gov.it,203489,0,True,False
it,instagram.com,209137,2,False,False
it,instagram.com,5394,3,False,False
it,corriere.it,31115,30,False,False
it,linkedin.com,62275,2,False,False
it,instagram.com,8816,2,False,False
it,staseraintv.com,60501,17,False,False
it,corriere.it,48544,36,False,False
it,twitter.com,16232,3,False,False
it,fanpage.it,137,16,False,False
it,ilmeteo.it,28941,42,False,False
it,my-personaltrainer.it,21309,24,False,False
it,futbol24.com,198090,4,False,False
it,virgilio.it,201474,20,False,False
it,twitter.com,49360,3,False,False
it,ilsole24ore.com,43989,30,False,False
it,wikipedia.org,137,1,False,False
it,agenziaentrate.gov.it,205005,0,True,False
it,repubblica.it,16509,24,False,False
it,virgilio.it,3242,16,False,False
it,ilmeteo.it,205891,36,False,False
it,3bmeteo.com,60501,15,False,False
it,repubblica.it,42669,21,False,False
it,ilfattoquotidiano.it,28941,20,False,False
it,my-personaltrainer.it,44831,24,False,False
it,giallozafferano.it,49605,27,False,False
it,booking.com,3269,5,False,False
it,giallozafferano.it,12835,27,False,False
it,ilmeteo.it,201474,35,False,False
it,futbol24.com,202870,4,False,False
it,gazzetta.it,29050,35,False,False
it,immobiliare.it,210278,12,False,False
it,immobiliare.it,8220,12,False,False
it,immobiliare.it,43942,12,False,False
it,corriere.it,12835,38,False,False
it,immobiliare.it,31115,11,False,False
it,facebook.com,8816,3,False,False
it,repubblica.it,197650,9,False,False
it,subito.it,15663,27,False,False
it,fanpage.it,29449,18,False,False
it,ilmeteo.it,3257,40,False,False
it,virgilio.it,48500,14,False,False
it,tim.it,205005,16,False,False
it,my-personaltrainer.it,21034,24,False,False
it,bakecaincontrii.com,20811,0,False,True
it,aruba.it,31034,8,False,False
it,repubblica.it,207013,0,False,True
it,poste.it,210278,4,False,False
it,wikipedia.org,13097,1,False,False
