country,target_domain,as_number,#fqdn_in_response,is_error,is_empty
nl,instagram.com,33915,2,False,False
nl,instagram.com,198089,2,False,False
nl,onet.pl,3257,16,False,False
nl,onet.pl,6830,16,False,False
nl,o2.pl,49981,9,False,False
nl,onet.pl,15435,16,False,False
nl,booking.com,41960,5,False,False
nl,pomponik.pl,8608,12,False,False
nl,interia.pl,58061,8,False,False
nl,wyborcza.pl,41960,29,False,False
nl,instagram.com,62105,2,False,False
nl,o2.pl,21155,5,False,False
nl,wykop.pl,8075,14,False,False
nl,ipko.pl,1103,2,False,False
nl,filmweb.pl,28685,15,False,False
nl,vulcan.net.pl,8075,1,False,False
nl,businessinsider.com.pl,15542,25,False,False
nl,roblox.com,207375,11,False,False
nl,linkedin.com,43350,2,False,False
nl,tvn24.pl,49544,7,False,False
nl,gazeta.pl,12414,12,False,False
nl,interia.pl,31615,8,False,False
nl,wykop.pl,5524,15,False,False
nl,businessinsider.com.pl,57112,24,False,False
nl,businessinsider.com.pl,24875,24,False,False
nl,wykop.pl,49453,46,False,False
nl,ceneo.pl,201290,7,False,False
nl,pomponik.pl,3257,12,False,False
nl,linkedin.com,1133,2,False,False
nl,otomoto.pl,52000,17,False,False
nl,jbzd.com.pl,57112,35,False,False
nl,fakt.pl,60144,22,False,False
nl,tiktok.com,58075,18,False,False
nl,pudelek.pl,33915,6,False,False
nl,cda.pl,58291,17,False,False
nl,office.com,60404,11,False,False
nl,mbank.pl,202120,3,False,False
nl,pudelek.pl,8608,6,False,False
nl,librus.pl,31477,3,False,False
nl,pomponik.pl,8315,9,False,False
nl,pomponik.pl,52000,12,False,False
nl,wykop.pl,50522,0,False,True
nl,pudelek.pl,58291,5,False,False
nl,pomponik.pl,61044,12,False,False
nl,cda.pl,39637,17,False,False
nl,ipko.pl,29462,0,False,True
nl,tiktok.com,49784,17,False,False
nl,interia.pl,21155,12,False,False
nl,instagram.com,201975,2,False,False
nl,abczdrowie.pl,21221,18,False,False
nl,tvn24.pl,20559,6,False,False
nl,gazeta.pl,202422,12,False,False
nl,wikipedia.org,21155,1,False,False
nl,sport.pl,49981,13,False,False
nl,pomponik.pl,1136,12,False,False
nl,facebook.com,207176,0,False,True
nl,mediaexpert.pl,58073,2,False,False
nl,wikipedia.org,39686,1,False,False
nl,gazeta.pl,50673,12,False,False
nl,wykop.pl,20473,16,False,False
nl,o2.pl,8426,9,False,False
nl,interia.pl,6830,12,False,False
nl,naszemiasto.pl,25596,49,False,False
nl,filmweb.pl,58075,12,False,False
nl,tvn24.pl,12414,9,False,False
nl,onet.pl,31477,13,False,False
nl,plejada.pl,8426,1,False,False
nl,money.pl,21155,13,False,False
nl,tvp.pl,201975,29,False,False
nl,gazeta.pl,12876,12,False,False
nl,vulcan.net.pl,1124,1,False,False
nl,ipko.pl,38919,2,False,False
nl,instagram.com,202422,2,False,False
nl,linkedin.com,5390,2,False,False
nl,allegro.pl,3265,9,False,False
nl,instagram.com,34968,2,False,False
nl,librus.pl,24875,3,False,False
