country,target_domain,as_number,#fqdn_in_response,is_error,is_empty
pl,olx.pl,39375,16,False,False
pl,vulcan.net.pl,24577,1,False,False
pl,interia.pl,208041,12,False,False
pl,office.com,57723,11,False,False
pl,money.pl,12741,13,False,False
pl,naszemiasto.pl,15969,26,False,False
pl,instagram.com,20804,2,False,False
pl,tiktok.com,204444,7,False,False
pl,olx.pl,197697,17,False,False
pl,wp.pl,206314,0,True,False
pl,pudelek.pl,43888,6,False,False
pl,ceneo.pl,51155,7,False,False
pl,mbank.pl,8890,3,False,False
pl,tvn24.pl,15744,16,False,False
pl,office.com,8477,11,False,False
pl,linkedin.com,60810,2,False,False
pl,sport.interia.pl,50153,12,False,False
pl,onet.pl,29007,16,False,False
pl,tvp.pl,30782,26,False,False
pl,wyborcza.pl,29414,30,False,False
pl,booking.com,29414,3,False,False
pl,interia.pl,198004,9,False,False
pl,naszemiasto.pl,50188,53,False,False
pl,allegro.pl,8374,9,False,False
pl,ceneo.pl,35007,8,False,False
pl,pomponik.pl,198611,12,False,False
pl,fakt.pl,35378,22,False,False
pl,plejada.pl,42968,1,False,False
pl,sport.interia.pl,197181,12,False,False
pl,sport.pl,20804,11,False,False
pl,tvp.pl,210104,29,False,False
pl,linkedin.com,56449,2,False,False
pl,fakt.pl,200539,23,False,False
pl,filmweb.pl,48712,12,False,False
pl,gazeta.pl,12423,13,False,False
pl,businessinsider.com.pl,205813,23,False,False
pl,naszemiasto.pl,12912,44,False,False
pl,pudelek.pl,57219,6,False,False
pl,librus.pl,58321,3,False,False
pl,mbank.pl,43888,3,False,False
pl,roblox.com,50411,10,False,False
pl,ceneo.pl,59686,11,False,False
pl,messenger.com,198498,4,False,False
pl,instagram.com,8477,2,False,False
pl,businessinsider.com.pl,58321,22,False,False
pl,vulcan.net.pl,51944,1,False,False
pl,gazeta.pl,42981,13,False,False
pl,tiktok.com,42717,16,False,False
pl,vulcan.net.pl,203435,1,False,False
pl,tvp.pl,50661,25,False,False
pl,messenger.com,39375,4,False,False
pl,sport.pl,207156,13,False,False
pl,businessinsider.com.pl,197809,23,False,False
pl,vulcan.net.pl,42717,1,False,False
pl,twitter.com,38987,3,False,False
pl,messenger.com,50994,3,False,False
pl,gazeta.pl,42763,0,False,True
pl,pudelek.pl,48659,6,False,False
pl,librus.pl,41841,3,False,False
pl,interia.pl,50550,12,False,False
pl,instagram.com,39603,2,False,False
pl,sport.interia.pl,210104,10,False,False
pl,businessinsider.com.pl,15744,28,False,False
pl,filmweb.pl,50095,12,False,False
pl,tiktok.com,42490,16,False,False
pl,sport.interia.pl,42927,12,False,False
pl,office.com,50153,11,False,False
pl,mbank.pl,60563,3,False,False
pl,tvp.pl,8819,28,False,False
pl,vulcan.net.pl,29649,1,False,False
pl,office.com,35378,11,False,False
pl,cda.pl,15969,10,False,False
pl,office.com,197480,11,False,False
pl,facebook.com,196969,3,False,False
pl,plejada.pl,49290,1,False,False
pl,gazeta.pl,24577,13,False,False
pl,librus.pl,8374,3,False,False
pl,abczdrowie.pl,13110,15,False,False
pl,wyborcza.pl,200862,32,False,False
pl,o2.pl,56449,8,False,False
pl,booking.com,200862,3,False,False
pl,o2.pl,35378,7,False,False
pl,naszemiasto.pl,48712,51,False,False
pl,wykop.pl,16342,15,False,False
pl,interia.pl,25468,12,False,False
pl,allegro.pl,198230,9,False,False
pl,otomoto.pl,35199,16,False,False
pl,jbzd.com.pl,60563,76,False,False
pl,allegro.pl,200001,9,False,False
pl,wikipedia.org,39816,1,False,False
pl,librus.pl,43495,3,False,False
pl,onet.pl,41676,16,False,False
pl,wykop.pl,203435,14,False,False
pl,interia.pl,29649,9,False,False
pl,pudelek.pl,15874,6,False,False
pl,vulcan.net.pl,15744,1,False,False
pl,naszemiasto.pl,39603,44,False,False
pl,filmweb.pl,42717,4,False,False
pl,tvn24.pl,15798,19,False,False
pl,sport.interia.pl,42968,12,False,False
pl,pudelek.pl,13000,4,False,False
pl,money.pl,50231,11,False,False
pl,booking.com,57723,4,False,False
pl,wyborcza.pl,57723,27,False,False
pl,tiktok.com,48712,16,False,False
pl,tvn24.pl,29649,7,False,False
pl,sport.pl,205679,10,False,False
pl,fakt.pl,49601,19,False,False
pl,olx.pl,56783,17,False,False
pl,gazeta.pl,49242,13,False,False
pl,facebook.com,29314,3,False,False
pl,fakt.pl,29314,23,False,False
pl,onet.pl,30851,16,False,False
pl,ipko.pl,196969,2,False,False
pl,linkedin.com,42673,2,False,False
pl,pudelek.pl,198611,6,False,False
pl,vulcan.net.pl,12618,1,False,False
pl,librus.pl,50994,3,False,False
pl,booking.com,49151,3,False,False
pl,wyborcza.pl,49151,30,False,False
pl,wykop.pl,202228,16,False,False
pl,office.com,197181,11,False,False
pl,wykop.pl,15874,15,False,False
pl,gazeta.pl,35378,13,False,False
pl,interia.pl,1887,12,False,False
pl,tvp.pl,39288,26,False,False
pl,gazeta.pl,49743,13,False,False
pl,vulcan.net.pl,199551,1,False,False
pl,businessinsider.com.pl,1887,24,False,False
pl,tvn24.pl,48956,16,False,False
pl,wyborcza.pl,42717,33,False,False
pl,booking.com,42717,3,False,False
pl,businessinsider.com.pl,8819,23,False,False
pl,olx.pl,33923,17,False,False
pl,filmweb.pl,204444,13,False,False
pl,tvn24.pl,35199,8,False,False
pl,tvn24.pl,198498,6,False,False
pl,sport.interia.pl,50095,12,False,False
pl,tvn24.pl,43171,7,False,False
pl,tvp.pl,8508,26,False,False
pl,otomoto.pl,205485,10,False,False
pl,tvp.pl,197809,24,False,False
pl,plejada.pl,39603,1,False,False
pl,interia.pl,50661,12,False,False
pl,office.com,35007,11,False,False
pl,allegro.pl,51960,9,False,False
pl,office.com,44124,11,False,False
pl,olx.pl,205679,14,False,False
pl,onet.pl,12912,16,False,False
pl,mbank.pl,48659,3,False,False
pl,librus.pl,39816,3,False,False
pl,facebook.com,42401,3,False,False
pl,plejada.pl,9085,1,False,False
pl,roblox.com,50247,11,False,False
pl,ceneo.pl,30793,8,False,False
pl,facebook.com,39816,3,False,False
pl,onet.pl,42673,16,False,False
pl,sport.interia.pl,13000,12,False,False
pl,ceneo.pl,56783,11,False,False
pl,fakt.pl,50550,19,False,False
pl,fakt.pl,56523,19,False,False
pl,allegro.pl,197186,9,False,False
pl,jbzd.com.pl,12912,29,False,False
pl,ipko.pl,6830,2,False,False
pl,fakt.pl,200862,23,False,False
pl,tvn24.pl,49151,8,False,False
pl,instagram.com,29314,3,False,False
pl,instagram.com,198004,2,False,False
pl,businessinsider.com.pl,16110,3,False,False
pl,allegro.pl,199449,9,False,False
pl,money.pl,208041,11,False,False
pl,olx.pl,208041,18,False,False
pl,plejada.pl,13065,1,False,False
pl,allegro.pl,41023,9,False,False
pl,mediaexpert.pl,202228,2,False,False
pl,pudelek.pl,203435,6,False,False
pl,tvp.pl,42763,29,False,False
pl,vulcan.net.pl,12324,1,False,False
pl,wykop.pl,25468,16,False,False
pl,pudelek.pl,30813,0,True,False
pl,tvn24.pl,205813,16,False,False
pl,o2.pl,8267,9,False,False
pl,filmweb.pl,42490,4,False,False
pl,tiktok.com,50095,14,False,False
pl,booking.com,198709,4,False,False
pl,wp.pl,15744,7,False,False
pl,wyborcza.pl,198709,23,False,False
pl,tvp.pl,16276,27,False,False
pl,o2.pl,12423,5,False,False
pl,sport.pl,15969,13,False,False
pl,instagram.com,47223,2,False,False
pl,tvp.pl,196969,26,False,False
pl,businessinsider.com.pl,206314,24,False,False
pl,vulcan.net.pl,6830,1,False,False
pl,booking.com,8477,5,False,False
pl,linkedin.com,47223,2,False,False
pl,wyborcza.pl,8477,30,False,False
pl,otomoto.pl,56515,16,False,False
pl,twitter.com,39288,3,False,False
pl,businessinsider.com.pl,29596,25,False,False
pl,wikipedia.org,48712,1,False,False
pl,mbank.pl,29512,3,False,False
pl,olx.pl,40961,17,False,False
pl,vulcan.net.pl,34525,1,False,False
pl,messenger.com,47755,4,False,False
pl,messenger.com,196969,4,False,False
pl,tvn24.pl,12324,6,False,False
pl,tvn24.pl,198004,19,False,False
pl,olx.pl,206319,17,False,False
pl,onet.pl,50467,16,False,False
pl,messenger.com,50411,4,False,False
pl,abczdrowie.pl,57723,18,False,False
pl,messenger.com,39869,4,False,False
pl,cda.pl,39310,15,False,False
pl,money.pl,42717,11,False,False
pl,vulcan.net.pl,50095,0,False,True
pl,interia.pl,41026,12,False,False
pl,twitter.com,8865,3,False,False
pl,businessinsider.com.pl,12346,25,False,False
pl,office.com,56515,11,False,False
pl,tvn24.pl,198230,15,False,False
pl,plejada.pl,196969,1,False,False
pl,instagram.com,199846,2,False,False
pl,twitter.com,15798,3,False,False
pl,messenger.com,35007,4,False,False
pl,interia.pl,12423,12,False,False
pl,onet.pl,202228,16,False,False
pl,abczdrowie.pl,41841,18,False,False
pl,o2.pl,50994,9,False,False
pl,abczdrowie.pl,205679,10,False,False
pl,gazeta.pl,8267,11,False,False
pl,sport.pl,50095,12,False,False
pl,pomponik.pl,8890,12,False,False
pl,filmweb.pl,200539,8,False,False
pl,mediaexpert.pl,44454,2,False,False
pl,jbzd.com.pl,204957,42,False,False
pl,olx.pl,196890,17,False,False
pl,mediaexpert.pl,198611,2,False,False
pl,sport.pl,35063,12,False,False
pl,onet.pl,8865,16,False,False
pl,facebook.com,12912,3,False,False
pl,o2.pl,198537,8,False,False
pl,businessinsider.com.pl,49151,24,False,False
pl,facebook.com,43939,3,False,False
pl,pudelek.pl,206319,6,False,False
pl,onet.pl,197892,16,False,False
pl,jbzd.com.pl,35007,79,False,False
pl,roblox.com,196890,11,False,False
pl,tvp.pl,29649,27,False,False
pl,wp.pl,200862,7,False,False
