country_of_source_probe,Traceroutes,Unique IPs,Unique Tracker IPs
AT,0.579940869,1.675977654,1.363636364
BE,0.083090985,0.105485232,0.272479564
BG,0.15696827,1.118760757,1.356852103
CZ,0.322511288,3.52303523,4.578313253
DE,0.561234716,2.090301003,1.392919327
DK,0.057614749,0.234558249,0.142247511
ES,0.383482465,2.2737608,2.555066079
FI,4.259465479,4.255319149,3.20855615
FR,0.384404174,1.342281879,1.108033241
GR,1.357641583,4.195804196,3.428571429
HR,0.918196995,1.691093574,1.83299389
HU,0.37593985,1.761006289,2.433628319
IE,0.866100814,1.432958035,1.854974705
IT,0.737585705,3.764544832,4.965517241
NL,0.187904517,1.29403307,1.937984496
PL,0.804455446,4.597197898,4.439428141
PT,0.413864459,1.183431953,1.340482574
RO,6.55907304,2.825888788,2.591463415
SE,0.32086542,1.272827892,1.518438178
SK,0.804069577,3.721841332,4.299363057
