,website,google,not_google
0,google.com,True,
1,youtube.com,True,
2,facebook.com,,
3,abv.bg,,
4,google.bg,True,
5,wikipedia.org,,
6,blitz.bg,,
7,instagram.com,,
8,winbet.bg,,
9,nova.bg,,
10,dir.bg,,
11,sinoptik.bg,,
12,shkolo.bg,,
13,olx.bg,,
14,zamunda.net,,
15,24chasa.bg,,
16,fakti.bg,,
17,plovdiv24.bg,,
18,kaufland.com,,
19,sportal.bg,,
20,bazar.bg,,
21,tiktok.com,,
22,twitter.com,,
23,vesti.bg,,
24,novini.bg,,
25,marica.bg,,
26,betano.bg,,
27,alo.bg,,
28,emag.bg,,
29,xnxx.com,,
30,yettel.bg,,
31,pik.bg,,
32,mobile.bg,,
33,dnes.bg,,
34,dnevnik.bg,,
35,filmisub.com,,
36,btvnovinite.bg,,
37,gong.bg,,
38,pornhub.com,,
39,booking.com,,
40,palmsbet.com,,
41,twitch.tv,,
42,frognews.bg,,
43,dariknews.bg,,
44,xhamster.com,,
45,xvideos.com,,
46,offnews.bg,,
47,jobs.bg,,
48,framar.bg,,
49,vbox7.com,,
