,website,google,not_google
0,google.com,True,
1,seznam.cz,,
2,youtube.com,True,
3,facebook.com,,
4,novinky.cz,,
5,idnes.cz,,
6,stream.cz,,
7,super.cz,,
8,sport.cz,,
9,wikipedia.org,,
10,google.cz,True,
11,szn.cz,,
12,instagram.com,,
13,blesk.cz,,
14,mapy.cz,,
15,aktualne.cz,,
16,iprima.cz,,
17,centrum.cz,,
18,nova.cz,,
19,bazos.cz,,
20,twitter.com,,
21,heureka.cz,,
22,denik.cz,,
23,alza.cz,,
24,ceskatelevize.cz,,
25,csfd.cz,,
26,in-pocasi.cz,,
27,prozeny.cz,,
28,pornhub.com,,
29,xvideos.com,,
30,email.cz,,
31,twitch.tv,,
32,freevideo.cz,,
33,sreality.cz,,
34,xhamster.com,,
35,chmi.cz,,
36,uloz.to,,
37,extra.cz,,
38,zbozi.cz,,
39,kurzy.cz,,
40,sbazar.cz,,
41,office.com,,
42,echo24.cz,,
43,hn.cz,,
44,amateri.com,,
45,mall.cz,,
46,xnxx.com,,
47,lidl.cz,,
48,booking.com,,
49,irozhlas.cz,,
