,website,google,not_google
0,google.com,True,
1,youtube.com,True,
2,facebook.com,,
3,dr.dk,,
4,tv2.dk,,
5,netflix.com,,
6,google.dk,True,
7,ekstrabladet.dk,,
8,mitid.dk,,
9,twitch.tv,,
10,instagram.com,,
11,live.com,,
12,reddit.com,,
13,twitter.com,,
14,wikipedia.org,,
15,linkedin.com,,
16,bt.dk,,
17,dba.dk,,
18,messenger.com,,
19,viaplay.dk,,
20,disneyplus.com,,
21,dmi.dk,,
22,office.com,,
23,yahoo.com,,
24,microsoftonline.com,,
25,e-boks.dk,,
26,hbomax.com,,
27,unilogin.dk,,
28,sport.tv2.dk,,
29,sharepoint.com,,
30,roblox.com,,
31,politiken.dk,,
32,e-boks.com,,
33,berlingske.dk,,
34,yousee.dk,,
35,fandom.com,,
36,imdb.com,,
37,lectio.dk,,
38,zalando.dk,,True
39,borger.dk,,
40,ku.dk,,
41,discoveryplus.com,,
42,pricerunner.dk,,
43,au.dk,,
44,aula.dk,,
45,pornhub.com,,
46,microsoft.com,,
47,duckduckgo.com,,
48,bold.dk,,
49,yr.no,,
