,website,google,not_google
0,google.com,True,
1,youtube.com,True,
2,facebook.com,,
3,twitter.com,,
4,google.es,True,
5,instagram.com,,
6,marca.com,,
7,amazon.es,,
8,as.com,,
9,wikipedia.org,,
10,xvideos.com,,
11,live.com,,
12,whatsapp.com,,
13,elmundo.es,,
14,elpais.com,,
15,pornhub.com,,
16,netflix.com,,
17,abc.es,,
18,tiktok.com,,
19,elconfidencial.com,,
20,xnxx.com,,
21,elespanol.com,,
22,mundodeportivo.com,,
23,idealista.com,,
24,lavanguardia.com,,
25,yahoo.com,,
26,20minutos.es,,
27,sport.es,,
28,booking.com,,
29,eltiempo.es,,
30,linkedin.com,,
31,twitch.tv,,
32,telecinco.es,,
33,xhamster.com,,
34,milanuncios.com,,
35,office.com,,
36,okdiario.com,,
37,aliexpress.com,,
38,amateur.tv,,
39,aemet.es,,
40,eldiario.es,,
41,elcorteingles.es,,
42,google.com.br,True,
43,orange.es,,
44,juntadeandalucia.es,,
45,agenciatributaria.gob.es,,
46,rtve.es,,
47,primevideo.com,,
48,pasion.com,,
49,pinterest.es,,
