,website,google,not_google
0,google.com,True,
1,youtube.com,True,
2,is.fi,,
3,facebook.com,,
4,iltalehti.fi,,
5,yle.fi,,
6,google.fi,True,
7,wikipedia.org,,
8,hs.fi,,
9,foreca.fi,,
10,tori.fi,,
11,twitter.com,,
12,ilmatieteenlaitos.fi,,
13,instagram.com,,
14,op.fi,,
15,mtvuutiset.fi,,
16,veikkaus.fi,,
17,reddit.com,,
18,twitch.tv,,
19,suomi.fi,,
20,pornhub.com,,
21,etuovi.com,,
22,yandex.ru,,
23,netflix.com,,
24,live.com,,
25,ampparit.com,,
26,nettiauto.com,,
27,kauppalehti.fi,,
28,suomi24.fi,,
29,nordea.com,,
30,xvideos.com,,
31,elisa.fi,,
32,ylilauta.org,,
33,office.com,,
34,xnxx.com,,
35,nordea.fi,,
36,linkedin.com,,
37,kela.fi,,
38,vk.com,,
39,whatsapp.com,,
40,microsoftonline.com,,
41,telsu.fi,,
42,motonet.fi,,
43,xhamster.com,,
44,oikotie.fi,,
45,seiska.fi,,
46,telia.fi,,
47,k-ruoka.fi,,
48,fandom.com,,
49,posti.fi,,
