,website,google,not_google
0,google.com,True,
1,youtube.com,True,
2,facebook.com,,
3,google.fr,True,
4,orange.fr,,
5,wikipedia.org,,
6,twitter.com,,
7,amazon.fr,,
8,leboncoin.fr,,
9,instagram.com,,
10,live.com,,
11,yahoo.com,,
12,netflix.com,,
13,pornhub.com,,
14,xvideos.com,,
15,lefigaro.fr,,
16,lemonde.fr,,
17,xhamster.com,,
18,francetvinfo.fr,,
19,credit-agricole.fr,,
20,xnxx.com,,
21,ouest-france.fr,,
22,linkedin.com,,
23,meteofrance.com,,
24,programme-tv.net,,
25,free.fr,,
26,twitch.tv,,
27,news.google.com,True,
28,bfmtv.com,,
29,stripchat.com,,
30,doctolib.fr,,
31,sfr.fr,,
32,lequipe.fr,,True
33,20minutes.fr,,
34,tiktok.com,,
35,index-education.net,,
36,leparisien.fr,,
37,google.com.br,True,
38,actu.fr,,
39,gala.fr,,
40,bing.com,,
41,booking.com,,
42,cdiscount.com,,
43,msn.com,,
44,labanquepostale.fr,,
45,voici.fr,,
46,pinterest.fr,,
47,impots.gouv.fr,,
48,ladepeche.fr,,
49,journaldesfemmes.fr,,
