,website,google,not_google
0,google.com,True,
1,youtube.com,True,
2,facebook.com,,
3,google.gr,True,
4,skroutz.gr,,
5,protothema.gr,,
6,instagram.com,,
7,newsbomb.gr,,
8,wikipedia.org,,
9,gsis.gr,,
10,yahoo.com,,
11,iefimerida.gr,,
12,in.gr,,
13,twitter.com,,
14,newsit.gr,,
15,xnxx.com,,
16,tiktok.com,,
17,live.com,,
18,stoiximan.gr,,
19,meteo.gr,,
20,athensmagazine.gr,,
21,gazzetta.gr,,
22,car.gr,,
23,sdna.gr,,
24,pornhub.com,,
25,sport24.gr,,
26,news247.gr,,
27,pronews.gr,,
28,gossip-tv.gr,,
29,winbank.gr,,
30,netflix.com,,
31,xvideos.com,,
32,aade.gr,,
33,sport-fm.gr,,
34,kathimerini.gr,,
35,ethnos.gr,,
36,xhamster.com,,
37,nbg.gr,,
38,booking.com,,
39,sportdog.gr,,
40,dikaiologitika.gr,,
41,makeleio.gr,,
42,vouchers.gov.gr,,
43,alphatv.gr,,
44,lifo.gr,,
45,alfavita.gr,,
46,vrisko.gr,,
47,news.google.com,True,
48,newsbeast.gr,,
49,eurobank.gr,,
