,website,google,not_google
0,google.com,True,
1,facebook.com,,
2,youtube.com,True,
3,google.hu,True,
4,index.hu,,
5,idokep.hu,,
6,origo.hu,,
7,startlap.hu,,
8,24.hu,,
9,wikipedia.org,,
10,blikk.hu,,
11,telex.hu,,
12,instagram.com,,
13,portfolio.hu,,
14,hvg.hu,,
15,444.hu,,
16,pornhub.com,,
17,freemail.hu,,
18,gov.hu,,
19,jofogas.hu,,
20,sorozatbarat.club,,
21,xnxx.com,,
22,arukereso.hu,,
23,xvideos.com,,
24,nemzetisport.hu,,
25,videa.hu,,
26,twitter.com,,
27,borsonline.hu,,
28,femina.hu,,
29,nlc.hu,,
30,tiktok.com,,
31,emag.hu,,
32,napi.hu,,
33,filmorias.com,,
34,xhamster.com,,
35,online-filmek.me,,
36,promotions.hu,,
37,ripost.hu,,
38,hasznaltauto.hu,,
39,filmvilag.me,,
40,hirkereso.hu,,
41,gyakorikerdesek.hu,,
42,netflix.com,,
43,mozinet.me,,
44,life.hu,,
45,nosalty.hu,,
46,ingatlan.com,,
47,hbomax.com,,
48,hirstart.hu,,
49,rosszlanyok.hu,,
