,website,google,not_google
0,google.com,True,
1,facebook.com,,
2,youtube.com,True,
3,google.it,True,
4,wikipedia.org,,
5,amazon.it,,
6,instagram.com,,
7,repubblica.it,,
8,corriere.it,,
9,whatsapp.com,,
10,xnxx.com,,
11,pornhub.com,,
12,mediaset.it,,
13,futbol24.com,,
14,twitter.com,,
15,ilmeteo.it,,
16,libero.it,,
17,poste.it,,
18,ansa.it,,
19,subito.it,,
20,diretta.it,,True
21,3bmeteo.com,,
22,xvideos.com,,
23,gazzetta.it,,
24,tiktok.com,,
25,yahoo.com,,
26,ebay.it,,
27,live.com,,
28,netflix.com,,
29,ilfattoquotidiano.it,,
30,booking.com,,
31,tim.it,,
32,xhamster.com,,
33,fanpage.it,,
34,aruba.it,,
35,linkedin.com,,
36,virgilio.it,,
37,giallozafferano.it,,
38,ilsole24ore.com,,
39,sky.it,,
40,samsung.com,,
41,lastampa.it,,
42,stripchat.com,,
43,immobiliare.it,,
44,twitch.tv,,
45,bakecaincontrii.com,,
46,staseraintv.com,,
47,inps.it,,
48,agenziaentrate.gov.it,,
49,my-personaltrainer.it,,
