,website,google,not_google
0,google.com,True,
1,youtube.com,True,
2,facebook.com,,
3,wp.pl,,
4,onet.pl,,
5,allegro.pl,,
6,google.pl,True,
7,interia.pl,,
8,wikipedia.org,,
9,olx.pl,,
10,instagram.com,,
11,twitter.com,,
12,o2.pl,,
13,gazeta.pl,,
14,pudelek.pl,,
15,librus.pl,,
16,wykop.pl,,
17,tvn24.pl,,
18,tiktok.com,,
19,ceneo.pl,,
20,pornhub.com,,
21,money.pl,,
22,cda.pl,,
23,netflix.com,,
24,otomoto.pl,,
25,filmweb.pl,,
26,businessinsider.com.pl,,
27,mediaexpert.pl,,
28,messenger.com,,
29,xvideos.com,,
30,xnxx.com,,
31,xhamster.com,,
32,linkedin.com,,
33,sport.interia.pl,,
34,ipko.pl,,
35,sport.pl,,
36,tvp.pl,,
37,booking.com,,
38,office.com,,
39,mbank.pl,,
40,wyborcza.pl,,
41,abczdrowie.pl,,
42,vulcan.net.pl,,
43,fakt.pl,,
44,roblox.com,,
45,twitch.tv,,
46,jbzd.com.pl,,
47,naszemiasto.pl,,
48,plejada.pl,,
49,pomponik.pl,,
