,website
1,google.com
2,youtube.com
3,facebook.com
4,abv.bg
5,google.bg
6,wikipedia.org
7,blitz.bg
8,winbet.bg
9,instagram.com
10,shkolo.bg
11,nova.bg
12,zamunda.net
13,olx.bg
14,fakti.bg
15,dir.bg
16,emag.bg
17,sinoptik.bg
18,24chasa.bg
19,sportal.bg
20,bazar.bg
21,kaufland.com
22,palmsbet.com
23,tiktok.com
24,coronavirus.bg
25,xnxx.com
26,marica.bg
27,twitter.com
28,novini.bg
29,vesti.bg
30,plovdiv24.bg
31,gotvach.bg
32,filmisub.com
33,dnes.bg
34,mobile.bg
35,pik.bg
36,bet365.com
37,gong.bg
38,twitch.tv
39,dariknews.bg
40,vbox7.com
41,alo.bg
42,frognews.bg
43,btvnovinite.bg
44,dnevnik.bg
45,pornhub.com
46,framar.bg
47,xhamster.com
48,actualno.com
49,offnews.bg
50,petel.bg
