,website
1,google.com
2,seznam.cz
3,youtube.com
4,facebook.com
5,novinky.cz
6,idnes.cz
7,stream.cz
8,super.cz
9,google.cz
10,wikipedia.org
11,sport.cz
12,szn.cz
13,blesk.cz
14,instagram.com
15,aktualne.cz
16,centrum.cz
17,alza.cz
18,iprima.cz
19,heureka.cz
20,bazos.cz
21,ceskatelevize.cz
22,csfd.cz
23,prozeny.cz
24,nova.cz
25,mapy.cz
26,twitter.com
27,denik.cz
28,pornhub.com
29,email.cz
30,xvideos.com
31,uloz.to
32,zbozi.cz
33,twitch.tv
34,freevideo.cz
35,hn.cz
36,mall.cz
37,xhamster.com
38,sreality.cz
39,livesport.cz
40,extra.cz
41,sbazar.cz
42,netflix.com
43,office.com
44,zivotvcesku.cz
45,datart.cz
46,tipsport.cz
47,aukro.cz
48,garaz.cz
49,amateri.com
50,czc.cz
