,website
1,google.com
2,youtube.com
3,facebook.com
4,skroutz.gr
5,google.gr
6,protothema.gr
7,instagram.com
8,gsis.gr
9,wikipedia.org
10,iefimerida.gr
11,newsbomb.gr
12,athensmagazine.gr
13,in.gr
14,yahoo.com
15,newsit.gr
16,stoiximan.gr
17,meteo.gr
18,twitter.com
19,xnxx.com
20,live.com
21,netflix.com
22,gazzetta.gr
23,car.gr
24,news247.gr
25,pornhub.com
26,pronews.gr
27,sdna.gr
28,winbank.gr
29,sport24.gr
30,tiktok.com
31,gossip-tv.gr
32,makeleio.gr
33,ethnos.gr
34,xvideos.com
35,sport-fm.gr
36,services.gov.gr
37,zougla.gr
38,lifo.gr
39,nbg.gr
40,emvolio.gov.gr
41,aade.gr
42,sch.gr
43,bet365.gr
44,xhamster.com
45,news.google.com
46,kathimerini.gr
47,agones.gr
48,newsbeast.gr
49,sportdog.gr
50,cosmote.gr
