,website
1,google.com
2,youtube.com
3,facebook.com
4,wp.pl
5,allegro.pl
6,onet.pl
7,google.pl
8,interia.pl
9,wikipedia.org
10,olx.pl
11,instagram.com
12,o2.pl
13,librus.pl
14,twitter.com
15,gazeta.pl
16,ceneo.pl
17,pudelek.pl
18,netflix.com
19,wykop.pl
20,tvn24.pl
21,cda.pl
22,mediaexpert.pl
23,pornhub.com
24,money.pl
25,filmweb.pl
26,otomoto.pl
27,tiktok.com
28,businessinsider.com.pl
29,abczdrowie.pl
30,medonet.pl
31,euro.com.pl
32,messenger.com
33,sport.pl
34,xnxx.com
35,vulcan.net.pl
36,xvideos.com
37,ipko.pl
38,xhamster.com
39,wyborcza.pl
40,wpcdn.pl
41,roblox.com
42,microsoft.com
43,mbank.pl
44,fakt.pl
45,tvp.pl
46,pepper.pl
47,sport.interia.pl
48,linkedin.com
49,office.com
50,plejada.pl
