website,countries
google.com,"['at', 'be', 'bg', 'hr', 'cz', 'dk', 'fi', 'fr', 'fr', 'de', 'de', 'gr', 'gr', 'hu', 'ie', 'it', 'nl', 'nl', 'pl', 'pl', 'pt', 'ro', 'sk', 'es', 'es', 'se']"
wikipedia.org,"['at', 'be', 'bg', 'hr', 'cz', 'dk', 'fi', 'fr', 'fr', 'de', 'de', 'gr', 'gr', 'hu', 'ie', 'it', 'nl', 'nl', 'pl', 'pl', 'pt', 'ro', 'sk', 'es', 'es', 'se']"
youtube.com,"['at', 'be', 'bg', 'hr', 'cz', 'dk', 'fi', 'fr', 'fr', 'de', 'de', 'gr', 'gr', 'hu', 'ie', 'it', 'nl', 'nl', 'pl', 'pl', 'pt', 'ro', 'sk', 'es', 'es', 'se']"
facebook.com,"['at', 'be', 'bg', 'hr', 'cz', 'dk', 'fi', 'fr', 'fr', 'de', 'de', 'gr', 'hu', 'ie', 'it', 'nl', 'nl', 'pl', 'pl', 'pt', 'ro', 'sk', 'es', 'es', 'se']"
xhamster.com,"['at', 'be', 'bg', 'hr', 'cz', 'fi', 'fr', 'fr', 'de', 'de', 'gr', 'gr', 'hu', 'ie', 'it', 'nl', 'nl', 'pl', 'pt', 'ro', 'sk', 'es', 'es', 'se']"
pornhub.com,"['at', 'be', 'bg', 'hr', 'cz', 'dk', 'fi', 'fr', 'fr', 'de', 'de', 'gr', 'hu', 'ie', 'it', 'nl', 'nl', 'pl', 'pt', 'ro', 'sk', 'es', 'es', 'se']"
netflix.com,"['at', 'be', 'hr', 'cz', 'dk', 'fi', 'fr', 'fr', 'de', 'de', 'gr', 'hu', 'ie', 'it', 'nl', 'pl', 'pl', 'pt', 'ro', 'sk', 'es', 'es', 'se']"
instagram.com,"['at', 'be', 'bg', 'hr', 'cz', 'dk', 'fi', 'fr', 'de', 'gr', 'hu', 'ie', 'it', 'nl', 'pl', 'pt', 'ro', 'sk', 'es', 'se']"
twitter.com,"['at', 'be', 'bg', 'hr', 'cz', 'dk', 'fi', 'fr', 'de', 'gr', 'hu', 'ie', 'it', 'nl', 'pl', 'pt', 'ro', 'sk', 'es', 'se']"
xvideos.com,"['at', 'be', 'hr', 'cz', 'fi', 'fr', 'de', 'de', 'gr', 'hu', 'ie', 'it', 'nl', 'pl', 'pt', 'ro', 'sk', 'es', 'se']"
twitch.tv,"['at', 'be', 'bg', 'cz', 'dk', 'fi', 'fr', 'de', 'de', 'ie', 'it', 'nl', 'nl', 'pt', 'sk', 'es', 'es', 'se']"
xnxx.com,"['at', 'be', 'bg', 'hr', 'fi', 'fr', 'de', 'gr', 'hu', 'ie', 'it', 'nl', 'pl', 'pt', 'ro', 'sk', 'es', 'se']"
live.com,"['at', 'be', 'dk', 'fi', 'fr', 'fr', 'de', 'de', 'gr', 'gr', 'ie', 'it', 'nl', 'nl', 'pt', 'es', 'es', 'se']"
yahoo.com,"['at', 'be', 'dk', 'fr', 'fr', 'de', 'de', 'gr', 'gr', 'ie', 'it', 'nl', 'pl', 'ro', 'es', 'es', 'se']"
reddit.com,"['at', 'be', 'hr', 'dk', 'fi', 'fr', 'de', 'de', 'ie', 'nl', 'nl', 'pt', 'ro', 'sk', 'es', 'se']"
office.com,"['be', 'hr', 'cz', 'dk', 'fi', 'ie', 'nl', 'pl', 'pl', 'pt', 'sk', 'es', 'se']"
tiktok.com,"['at', 'bg', 'de', 'gr', 'hu', 'ie', 'it', 'pl', 'pt', 'ro', 'sk', 'es']"
whatsapp.com,"['at', 'be', 'hr', 'fi', 'de', 'ie', 'it', 'nl', 'pt', 'ro', 'es']"
linkedin.com,"['be', 'dk', 'fi', 'fr', 'ie', 'it', 'nl', 'pl', 'pt', 'es', 'se']"
microsoftonline.com,"['be', 'dk', 'fi', 'fr', 'ie', 'nl', 'nl', 'pl', 'es']"
microsoft.com,"['be', 'dk', 'fr', 'de', 'nl', 'nl', 'pl', 'pl', 'es']"
bongacams.com,"['fr', 'de', 'gr', 'nl', 'pl', 'ro', 'es']"
duckduckgo.com,"['at', 'dk', 'fi', 'de', 'ie', 'nl', 'se']"
roblox.com,"['hr', 'dk', 'fr', 'pl', 'pl', 'ro']"
fandom.com,"['at', 'dk', 'fi', 'ie', 'ro', 'es']"
bing.com,"['fr', 'fr', 'de', 'de', 'es']"
chaturbate.com,"['fr', 'de', 'nl', 'pl', 'es']"
samsung.com,"['de', 'it', 'nl', 'pt', 'se']"
msn.com,"['fr', 'fr', 'de', 'nl', 'es']"
aliexpress.com,"['fr', 'ie', 'pl', 'es', 'es']"
imdb.com,"['hr', 'dk', 'ie', 'se']"
google.com.br,"['fr', 'de', 'it', 'es']"
stripchat.com,"['at', 'de', 'ie', 'pt']"
messenger.com,"['be', 'dk', 'pl', 'sk']"
vk.com,"['fr', 'de', 'nl', 'pl']"
chip.de,"['at', 'de', 'de']"
amazon.de,"['at', 'de', 'de']"
pinterest.com,"['be', 'nl', 'ro']"
yandex.ru,"['fi', 'de', 'nl']"
sharepoint.com,"['be', 'dk', 'nl']"
amazon.fr,"['be', 'fr', 'fr']"
gmx.net,"['at', 'de', 'de']"
amazon.es,"['pt', 'es', 'es']"
pudelek.pl,"['pl', 'pl']"
ceneo.pl,"['pl', 'pl']"
spiegel.de,"['de', 'de']"
nos.nl,"['nl', 'nl']"
n-tv.de,"['de', 'de']"
meteo.gr,"['gr', 'gr']"
zoom.us,"['de', 'ie']"
idealo.de,"['de', 'de']"
lemonde.fr,"['fr', 'fr']"
newsit.gr,"['gr', 'gr']"
pronews.gr,"['gr', 'gr']"
aade.gr,"['gr', 'gr']"
as.com,"['es', 'es']"
google.pl,"['pl', 'pl']"
wetter.com,"['de', 'de']"
free.fr,"['fr', 'fr']"
cdiscount.com,"['fr', 'fr']"
allegro.pl,"['pl', 'pl']"
o2.pl,"['pl', 'pl']"
rtve.es,"['es', 'es']"
tvp.pl,"['pl', 'pl']"
lifo.gr,"['gr', 'gr']"
paypal.com,"['at', 'de']"
google.gr,"['gr', 'gr']"
telegraaf.nl,"['nl', 'nl']"
zougla.gr,"['gr', 'gr']"
cda.pl,"['pl', 'pl']"
vulcan.net.pl,"['pl', 'pl']"
abczdrowie.pl,"['pl', 'pl']"
google.nl,"['nl', 'nl']"
t-online.de,"['de', 'de']"
bol.com,"['be', 'nl']"
leboncoin.fr,"['fr', 'fr']"
vinted.fr,"['fr', 'fr']"
gazeta.pl,"['pl', 'pl']"
in.gr,"['gr', 'gr']"
okdiario.com,"['es', 'es']"
gsis.gr,"['gr', 'gr']"
librus.pl,"['pl', 'pl']"
sfr.fr,"['fr', 'fr']"
olx.pl,"['pl', 'pl']"
money.pl,"['pl', 'pl']"
elmundo.es,"['es', 'es']"
lefigaro.fr,"['fr', 'fr']"
otomoto.pl,"['pl', 'pl']"
ebay.de,"['de', 'de']"
google.fr,"['fr', 'fr']"
marktplaats.nl,"['nl', 'nl']"
zdf.de,"['de', 'de']"
nu.nl,"['nl', 'nl']"
orange.fr,"['fr', 'fr']"
laposte.fr,"['fr', 'fr']"
wp.pl,"['pl', 'pl']"
medonet.pl,"['pl', 'pl']"
labanquepostale.fr,"['fr', 'fr']"
ouest-france.fr,"['fr', 'fr']"
nbg.gr,"['gr', 'gr']"
mail.ru,"['de', 'nl']"
ebay-kleinanzeigen.de,"['de', 'de']"
ipko.pl,"['pl', 'pl']"
sch.gr,"['gr', 'gr']"
mundodeportivo.com,"['es', 'es']"
skroutz.gr,"['gr', 'gr']"
winbank.gr,"['gr', 'gr']"
credit-agricole.fr,"['fr', 'fr']"
index-education.net,"['fr', 'fr']"
onet.pl,"['pl', 'pl']"
services.gov.gr,"['gr', 'gr']"
businessinsider.com.pl,"['pl', 'pl']"
google.de,"['de', 'de']"
filmweb.pl,"['pl', 'pl']"
tweakers.net,"['nl', 'nl']"
interia.pl,"['pl', 'pl']"
idealista.com,"['es', 'es']"
bild.de,"['de', 'de']"
digid.nl,"['nl', 'nl']"
csfd.cz,"['cz', 'sk']"
news.google.com,"['fr', 'gr']"
mbank.pl,"['pl', 'pl']"
marca.com,"['es', 'es']"
otto.de,"['de', 'de']"
ok.ru,"['de', 'nl']"
google.es,"['es', 'es']"
protothema.gr,"['gr', 'gr']"
wykop.pl,"['pl', 'pl']"
web.de,"['de', 'de']"
elperiodico.com,"['es', 'es']"
doctolib.fr,"['fr', 'fr']"
elpais.com,"['es', 'es']"
foreca.fi,['fi']
dir.bg,['bg']
rizk.hr,['hr']
zus.pl,['pl']
centrum.sk,['sk']
milanuncios.com,['es']
actualno.com,['bg']
markiza.sk,['sk']
swedbank.se,['se']
elgiganten.se,['se']
20minutos.es,['es']
vbox7.com,['bg']
bet365.gr,['gr']
xrysessyntages.gr,['gr']
tainio-mania.online,['gr']
google.co.id,['nl']
azet.sk,['sk']
rabobank.nl,['nl']
mabanque.bnpparibas,['fr']
tv4play.se,['se']
gencat.cat,['es']
noen.at,['at']
caf.fr,['fr']
weather.com,['nl']
hrt.hr,['hr']
evz.ro,['ro']
rte.ie,['ie']
vagina.nl,['nl']
blikk.hu,['hu']
frognews.bg,['bg']
viaplay.se,['se']
email.cz,['cz']
portaldasfinancas.gov.pt,['pt']
bazos.cz,['cz']
elcorreo.com,['es']
abola.pt,['pt']
libertaddigital.com,['es']
veikkaus.fi,['fi']
tim.it,['it']
filmix.ac,['de']
thebest.gr,['gr']
sportal.bg,['bg']
svtplay.se,['se']
poslovni.hr,['hr']
glasistre.hr,['hr']
amateri.com,['cz']
profesia.sk,['sk']
expresso.pt,['pt']
repubblica.it,['it']
tradera.com,['se']
berlingske.dk,['dk']
voetbalzone.nl,['nl']
ceskatelevize.cz,['cz']
marmiton.org,['fr']
prozeny.cz,['cz']
irishmirror.ie,['ie']
leparisien.fr,['fr']
idealista.pt,['pt']
fabswingers.com,['ie']
gazzetta.gr,['gr']
mall.cz,['cz']
sport.cz,['cz']
index.hu,['hu']
gala.fr,['fr']
mindmegette.hu,['hu']
bbva.es,['es']
gloria.hr,['hr']
seg-social.gob.es,['es']
olx.pt,['pt']
programme-tv.net,['fr']
adevarul.ro,['ro']
caisse-epargne.fr,['fr']
heute.at,['at']
blitz.bg,['bg']
mediaset.it,['it']
dedeman.ro,['ro']
coolinarika.com,['hr']
telecinco.es,['es']
observador.pt,['pt']
pinterest.fr,['fr']
clave.gob.es,['es']
nemzetisport.hu,['hu']
super.cz,['cz']
arukereso.hu,['hu']
kuleuven.be,['be']
sport.pl,['pl']
raiplay.it,['it']
btvnovinite.bg,['bg']
framar.bg,['bg']
kinokrad.co,['pl']
sapo.pt,['pt']
emag.hu,['hu']
google.ro,['ro']
libero.it,['it']
gov.hr,['hr']
femina.hu,['hu']
newsbomb.gr,['gr']
offnews.bg,['bg']
dhl.de,['de']
hirstart.hu,['hu']
abc.es,['es']
shkolo.bg,['bg']
skole.hr,['hr']
filmisub.com,['bg']
plovdiv24.bg,['bg']
telenet.be,['be']
stirileprotv.ro,['ro']
mozinet.me,['hu']
aemet.es,['es']
pricerunner.dk,['dk']
kathimerini.gr,['gr']
cuevana-3.wtf,['es']
rutracker.org,['nl']
hrvatskitelekom.hr,['hr']
aparat.com,['de']
kaufland.com,['bg']
ilsole24ore.com,['it']
gutekueche.at,['at']
cmjornal.pt,['pt']
futbol24.com,['it']
sme.sk,['sk']
sinoptik.bg,['bg']
racingnews365.nl,['nl']
hs.fi,['fi']
plejada.pl,['pl']
pravda.sk,['sk']
dexonline.ro,['ro']
donya-e-eqtesad.com,['de']
tv.nu,['se']
ansa.it,['it']
namasha.com,['de']
vesti.bg,['bg']
pinterest.es,['es']
zalando.nl,['nl']
elespanol.com,['es']
telekom.de,['de']
smartschool.be,['be']
mall.sk,['sk']
jogossantacasa.pt,['pt']
ylilauta.org,['fi']
is.fi,['fi']
tt.com,['at']
corriere.it,['it']
gotvach.bg,['bg']
hbomax.com,['dk']
hh.ru,['nl']
tportal.hr,['hr']
ebay.fr,['fr']
athensmagazine.gr,['gr']
google.hu,['hu']
dhnet.be,['be']
eltiempo.es,['es']
elconfidencial.com,['es']
pik.bg,['bg']
szn.cz,['cz']
aftonbladet.se,['se']
czc.cz,['cz']
filimo.com,['de']
flashback.org,['se']
news247.gr,['gr']
dailymail.co.uk,['ie']
krone.at,['at']
ebay.it,['it']
hn.cz,['cz']
disneyplus.com,['dk']
smhi.se,['se']
cas.sk,['sk']
jurnalul.ro,['ro']
gossip-tv.gr,['gr']
elcorteingles.es,['es']
cgd.pt,['pt']
linker.hr,['hr']
rezka.ag,['pl']
bet365.com,['bg']
publico.pt,['pt']
kukaj.io,['sk']
edupass.gov.gr,['gr']
acesso.gov.pt,['pt']
sport.interia.pl,['pl']
wetteronline.de,['de']
vodafone.com,['ro']
uloz.to,['cz']
dn.pt,['pt']
aktualne.cz,['cz']
nordnet.dk,['dk']
makeleio.gr,['gr']
drei.at,['at']
mediaexpert.pl,['pl']
extra.cz,['cz']
derstandard.at,['at']
fgov.be,['be']
lequipe.fr,['fr']
typosthes.gr,['gr']
fontanka.ru,['nl']
rijksoverheid.nl,['nl']
alza.sk,['sk']
ilmatieteenlaitos.fi,['fi']
amazon.se,['se']
tijd.be,['be']
tanea.gr,['gr']
google.dk,['dk']
rokna.net,['de']
lavanguardia.com,['es']
sbazar.cz,['cz']
lastampa.it,['it']
bombuj.si,['sk']
garaz.cz,['cz']
theguardian.com,['ie']
login.gov.pl,['pl']
ilmeteo.it,['it']
funktionstjanster.se,['se']
amazon.com,['ie']
kurier.at,['at']
pinterest.pt,['pt']
nordea.com,['fi']
parapolitika.gr,['gr']
gov.sk,['sk']
gismeteo.ua,['nl']
nova.bg,['bg']
xunta.gal,['es']
lesoir.be,['be']
dnevnik.bg,['bg']
1177.se,['se']
newsbreak.gr,['gr']
24chasa.bg,['bg']
proximus.be,['be']
k-ruoka.fi,['fi']
sport.es,['es']
andaluciaesdigital.es,['es']
jeuxvideo.com,['fr']
tomanifesto.gr,['gr']
itsme.be,['be']
larissanet.gr,['gr']
google.sk,['sk']
demorgen.be,['be']
g4media.ro,['ro']
seznam.cz,['cz']
wpcdn.pl,['pl']
min-saude.pt,['pt']
adverts.ie,['ie']
portfolio.hu,['hu']
sport.ro,['ro']
fnac.com,['fr']
agones.gr,['gr']
enimerotiko.gr,['gr']
amazon.co.uk,['ie']
sinoptik.ua,['nl']
supersport.hr,['hr']
impots.gouv.fr,['fr']
ad.nl,['nl']
gazzetta.it,['it']
ethnos.gr,['gr']
meinbezirk.at,['at']
mitid.dk,['dk']
iprima.cz,['cz']
nieuwsblad.be,['be']
tvn24.pl,['pl']
iefimerida.gr,['gr']
telsu.fi,['fi']
hvg.hu,['hu']
denik.cz,['cz']
subito.it,['it']
slobodnadalmacija.hr,['hr']
ameli.fr,['fr']
guadalinfo.es,['es']
etuovi.com,['fi']
elgiganten.dk,['dk']
betano.pt,['pt']
stoiximan.gr,['gr']
novilist.hr,['hr']
dikaiologitika.gr,['gr']
dhlparcel.nl,['nl']
filmorias.com,['hu']
rutor.info,['nl']
zoznam.sk,['sk']
nettiauto.com,['fi']
livesport.cz,['cz']
gva.be,['be']
twinrdsrv.com,['de']
aktuality.sk,['sk']
serraikanea.gr,['gr']
google.be,['be']
trustpilot.com,['nl']
unilogin.dk,['dk']
ziggo.nl,['nl']
immoweb.be,['be']
idnes.cz,['cz']
amazonaws.com,['nl']
worten.pt,['pt']
bancosantander.es,['es']
varzesh3.com,['de']
vkmag.com,['nl']
heureka.cz,['cz']
staseraintv.com,['it']
expressen.se,['se']
edf.fr,['fr']
rtlnieuws.nl,['nl']
diretta.it,['it']
dnevno.hr,['hr']
pepper.pl,['pl']
t-online.hu,['hu']
google.hr,['hr']
journaldesfemmes.fr,['fr']
car.gr,['gr']
ica.se,['se']
