Domain,Tracker or advertiser?,Source,Source Redirect/Error/More Info,Date Accessed,Checked,,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win
7dnevno.hr,FALSE,Frontpage,Google Translate,10/3/22,Yes,,
abcimg.es,FALSE,Frontpage,Unreachable,10/3/22,Yes,,1rx.io
adguard.org,FALSE,Frontpage,Unreachable,10/3/22,,,234doo.com
aliapp.org,FALSE,Frontpage,Unreachable,10/3/22,,,360yield.com
allegroimg.com,FALSE,Frontpage,Google Translate,10/3/22,Yes,,3lift.com
allegrostatic.com,FALSE,Frontpage,Unreachable,10/3/22,,,4cdn.hu
amplience.net,FALSE,Frontpage,Unreachable,10/3/22,,,4dex.io
arkoselabs.com,FALSE,Frontpage,,10/3/22,,,7rtb.com
az-jenata.bg,FALSE,Frontpage,Google Translate,10/3/22,,,a-mo.net
belgium.be,FALSE,Frontpage,Google Translate,10/3/22,,,aaxads.com
bgonair.bg,FALSE,Frontpage,Google Translate,10/3/22,,,abcstatics.com
bootstrapcdn.com,FALSE,Frontpage,,10/3/22,,,ad.gt
captcha-delivery.com,FALSE,Frontpage,Unreachable,10/3/22,,,adentifi.com
cdn-apple.com,FALSE,Frontpage,Unreachable,10/3/22,,,adgrx.com
24media.gr,TRUE,Frontpage,"""brand advertising""",10/3/22,Yes,,adhash.com
almatalent.fi,TRUE,Frontpage,Google Translate,10/3/22,Yes,,adingo.jp
cdn-expressen.se,TRUE,Frontpage,https://www.bonniernews.se/om-oss + Google Translate,10/3/22,,,adition.com
mailchimp.com,TRUE,Frontpage,"https://mailchimp.com/help/enable-and-view-click-tracking/#:~:text=When%20click%20tracking%20is%20enabled,to%20the%20intended%20web%20address.",10/3/22,,,admanmedia.com
bonnier.news,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,adnami.io
234doo.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,Yes,,adnetwork.agency
7rtb.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,Yes,,adnuntius.delivery
7rtb.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,Yes,,adnxs-simple.com
abcstatics.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,adnxs.com
adhash.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,Yes,,adocean.pl
adnetwork.agency,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,adomik.com
adnuntius.delivery,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,adotmob.com
adskeeper.co.uk,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,adpone.com
agora.pl,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,adpushup.com
